date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
1990-01-01,20.816129032258065,19.738709677419354,18.861290322580647,18.89032258064516,6.648387096774194,15.94516129032258,15.370967741935484,14.04516129032258,13.754838709677419,13.703225806451613,13.36774193548387,11.206451612903225,10.806451612903226,10.538709677419355,7.209677419354839
1990-02-01,21.146428571428572,20.385714285714283,18.87857142857143,19.032142857142855,5.617857142857143,16.3,15.785714285714286,14.62857142857143,14.296428571428573,14.157142857142857,13.617857142857144,11.196428571428571,10.75357142857143,10.946428571428571,7.114285714285714
1990-03-01,23.496774193548386,24.074193548387097,23.461290322580645,23.761290322580646,10.193548387096774,20.5,20.219354838709677,17.92258064516129,17.074193548387097,16.57741935483871,15.98709677419355,13.825806451612904,13.516129032258064,14.780645161290321,9.241935483870968
1990-04-01,27.66,30.173333333333336,30.636666666666667,30.766666666666666,18.95,28.290000000000003,28.15666666666667,26.28666666666667,24.576666666666664,23.476666666666667,22.34333333333333,20.029999999999998,19.543333333333333,20.529999999999998,15.493333333333334
1990-05-01,29.325806451612905,32.329032258064515,35.44516129032258,35.87096774193548,26.612903225806452,35.193548387096776,35.07419354838709,34.10967741935484,32.667741935483875,31.725806451612904,30.24516129032258,28.006451612903227,27.729032258064517,30.664516129032258,25.093548387096774
1990-06-01,29.793333333333333,32.29333333333333,36.13666666666666,36.74,28.39333333333333,36.29,36.15333333333333,35.11,34.12,34.126666666666665,32.82333333333334,30.959999999999997,30.616666666666667,33.39333333333333,27.753333333333334
1990-07-01,29.161290322580644,31.283870967741933,35.277419354838706,36.50967741935484,29.27741935483871,35.36129032258064,35.94193548387097,32.767741935483876,29.98709677419355,29.70967741935484,28.97741935483871,27.396774193548385,27.358064516129033,30.387096774193548,26.19677419354839
1990-08-01,27.893548387096775,29.625806451612902,33.2,33.1741935483871,26.75483870967742,33.4741935483871,32.89032258064516,30.470967741935485,28.629032258064516,28.299999999999997,27.816129032258065,26.33225806451613,26.325806451612905,27.84193548387097,25.348387096774193
1990-09-01,27.866666666666667,29.826666666666664,33.10333333333333,33.38333333333333,24.876666666666665,33.21666666666667,33.47666666666667,30.613333333333333,28.03666666666667,27.696666666666665,27.046666666666667,25.226666666666667,25.15,26.956666666666667,23.896666666666665
1990-10-01,27.335483870967742,28.174193548387095,28.567741935483873,28.25483870967742,18.20967741935484,27.241935483870968,26.948387096774194,25.141935483870967,23.067741935483873,22.306451612903224,21.32903225806452,19.10967741935484,19.029032258064515,21.312903225806455,17.864516129032257
1990-11-01,25.253333333333334,24.453333333333333,23.966666666666665,23.7,13.196666666666665,21.883333333333333,21.68,20.576666666666664,18.976666666666667,18.043333333333333,17.03666666666667,14.889999999999999,14.83,16.36,13.923333333333334
1990-12-01,20.79032258064516,18.606451612903225,17.612903225806452,17.23225806451613,6.161290322580645,15.351612903225806,14.983870967741936,13.64516129032258,13.158064516129032,12.741935483870968,12.403225806451612,10.419354838709678,10.212903225806452,10.516129032258064,7.170967741935484
1991-01-01,19.04516129032258,17.32903225806452,16.348387096774193,16.083870967741937,3.664516129032258,13.754838709677419,13.187096774193549,11.635483870967741,11.067741935483872,10.67741935483871,10.503225806451614,8.183870967741935,7.97741935483871,8.45483870967742,2.6129032258064515
1991-02-01,20.446428571428573,19.239285714285717,17.95,17.95,4.8500000000000005,15.960714285714285,15.717857142857143,14.325000000000001,13.592857142857143,13.325000000000001,13.196428571428571,10.767857142857142,10.292857142857143,10.189285714285715,5.839285714285714
1991-03-01,24.787096774193547,25.138709677419353,24.20967741935484,23.77741935483871,10.435483870967742,22.096774193548388,21.4741935483871,19.858064516129033,18.216129032258067,17.725806451612904,17.19677419354839,15.087096774193547,14.712903225806452,14.806451612903226,11.780645161290321
1991-04-01,27.490000000000002,29.683333333333334,29.613333333333333,29.39333333333333,16.073333333333334,26.86,26.083333333333332,24.16,22.723333333333336,22.03666666666667,21.25,18.66,18.259999999999998,18.8,15.006666666666666
1991-05-01,28.896774193548385,31.94193548387097,34.70645161290323,34.52258064516129,22.725806451612904,32.79032258064516,32.18064516129032,31.63225806451613,30.241935483870968,29.106451612903225,27.76774193548387,24.664516129032258,24.141935483870967,24.26774193548387,20.883870967741935
1991-06-01,30.15666666666667,33.6,37.36333333333334,37.09666666666667,27.94333333333333,36.593333333333334,36.04,35.09666666666667,32.906666666666666,32.45333333333333,31.183333333333334,29.196666666666665,28.936666666666667,30.57,26.92
1991-07-01,28.774193548387096,31.42258064516129,35.987096774193546,36.251612903225805,28.85483870967742,36.63548387096775,36.438709677419354,35.20322580645161,33.01935483870968,31.958064516129035,31.06451612903226,28.887096774193548,28.761290322580646,30.787096774193547,27.248387096774195
1991-08-01,27.77741935483871,30.038709677419355,34.064516129032256,34.12580645161291,28.106451612903225,34.31612903225806,34.093548387096774,32.751612903225805,29.52258064516129,28.76451612903226,28.183870967741935,26.429032258064513,26.429032258064513,27.806451612903224,25.23548387096774
1991-09-01,26.94333333333333,28.876666666666665,31.576666666666664,31.259999999999998,24.083333333333332,31.526666666666664,31.23,31.163333333333334,28.493333333333332,27.376666666666665,26.490000000000002,24.313333333333333,24.18,25.153333333333332,22.783333333333335
1991-10-01,27.338709677419356,28.716129032258067,27.448387096774194,27.02258064516129,16.970967741935485,25.761290322580646,25.770967741935483,25.748387096774195,24.370967741935484,23.048387096774192,21.635483870967743,19.299999999999997,19.016129032258064,19.56451612903226,17.738709677419354
1991-11-01,24.823333333333334,23.959999999999997,22.333333333333332,22.076666666666664,11.706666666666667,20.279999999999998,20.243333333333332,19.523333333333333,18.42,17.663333333333334,16.53666666666667,14.393333333333334,14.293333333333333,15.166666666666666,13.360000000000001
1991-12-01,21.63225806451613,19.81935483870968,18.212903225806453,17.94193548387097,8.816129032258065,16.283870967741937,16.01290322580645,15.22258064516129,14.493548387096775,13.896774193548387,13.393548387096773,11.419354838709678,11.290322580645162,11.77741935483871,8.903225806451612
1992-01-01,19.112903225806452,17.603225806451615,15.864516129032259,15.55483870967742,5.235483870967743,14.403225806451612,13.790322580645162,13.27741935483871,12.490322580645161,12.283870967741937,11.970967741935485,10.019354838709678,9.725806451612904,9.46774193548387,6.52258064516129
1992-02-01,20.36896551724138,19.717241379310344,18.186206896551724,17.913793103448278,6.23103448275862,15.56551724137931,14.89655172413793,13.693103448275863,13.020689655172415,12.60344827586207,12.279310344827588,10.144827586206896,9.796551724137931,9.820689655172414,4.4206896551724135
1992-03-01,23.193548387096776,24.36774193548387,22.9,23.13225806451613,10.280645161290321,20.848387096774193,20.35483870967742,19.345161290322583,18.429032258064513,17.725806451612904,16.80322580645161,14.074193548387097,13.612903225806452,13.48709677419355,10.029032258064515
1992-04-01,26.086666666666666,28.426666666666666,28.009999999999998,28.290000000000003,14.786666666666667,26.346666666666668,25.8,24.790000000000003,23.95,23.006666666666668,22.073333333333334,19.52,19.05666666666667,19.223333333333336,15.706666666666667
1992-05-01,29.92258064516129,33.21290322580645,33.94516129032258,34.10645161290322,21.896774193548385,32.06774193548387,31.67096774193548,30.925806451612903,29.47741935483871,28.348387096774193,26.796774193548387,24.748387096774195,24.061290322580643,24.706451612903226,20.848387096774193
1992-06-01,30.27,33.556666666666665,37.85666666666667,38.49333333333333,28.763333333333332,36.56333333333334,35.89,34.77333333333333,33.71333333333333,33.21333333333333,31.586666666666666,29.523333333333333,29.040000000000003,30.953333333333333,26.13
1992-07-01,28.932258064516127,31.03548387096774,34.73870967741936,35.24516129032258,26.73548387096774,33.274193548387096,32.99032258064516,31.248387096774195,29.9,29.932258064516127,29.345161290322583,27.787096774193547,27.490322580645163,29.438709677419357,25.61935483870968
1992-08-01,27.76774193548387,28.383870967741935,31.429032258064513,31.54516129032258,25.780645161290323,31.980645161290322,32.04516129032258,31.016129032258064,29.01290322580645,28.583870967741937,27.887096774193548,26.358064516129033,26.241935483870968,27.932258064516127,25.193548387096776
